Name, Size, Age, Color, Breed
Aavxexbt,15,3,white,Antipodean Opaleye
Bbu,5,3,white,Antipodean Opaleye
Ivoeya,17,3,blue,Chinese Fireball
Qayk,4,3,red,Chinese Fireball
Rpyjbtg,5,3,white,Chinese Fireball
Dsantdjs,8,3,red,Common Welsh Green
Gqp,0,3,black,Common Welsh Green
Hllc,12,3,white,Common Welsh Green
Uwbwbtj,20,3,black,Common Welsh Green
Esaxvcwq,18,3,blue,Hebridean Black
Ckkxeq,15,3,black,Hungarian Horntail
Cifjlwb,16,3,black,Norwegian Ridgeback
Dywxa,17,3,blue,Norwegian Ridgeback
Ibeqfuxt,3,3,red,Norwegian Ridgeback
Ikuubks,15,3,black,Norwegian Ridgeback
Jmoepoep,0,3,red,Norwegian Ridgeback
Oupsa,4,3,black,Norwegian Ridgeback
Xkcc,17,3,blue,Norwegian Ridgeback
Fcjppaj,18,3,black,Peruvian Vipertooth
Htwp,3,3,white,Peruvian Vipertooth
Yuyvschp,4,3,blue,Peruvian Vipertooth
Glkmfi,1,3,black,Romanian Longhorn
Qyv,7,3,black,Romanian Longhorn
Vsykiv,18,3,black,Swedish Short-Snout
Cidfrwc,6,3,white,Ukrainian Ironbelly
Fueum,2,3,white,Ukrainian Ironbelly
Illu,4,3,white,Ukrainian Ironbelly
Cmw,16,4,white,Antipodean Opaleye
Lvu,20,4,white,Antipodean Opaleye
Lyg,6,4,black,Antipodean Opaleye
Ohid,19,4,white,Antipodean Opaleye
Akfe,14,4,black,Chinese Fireball
Ffhlxr,13,4,red,Chinese Fireball
Gnpxpqct,10,4,black,Chinese Fireball
Gyasnfja,17,4,red,Chinese Fireball
Pgaux,1,4,white,Chinese Fireball
Owtj,2,4,black,Common Welsh Green
Xhod,13,4,red,Common Welsh Green
Ycu,14,4,red,Common Welsh Green
Ystemim,20,4,black,Common Welsh Green
Dvmkahx,18,4,red,Hebridean Black
Ermc,9,4,black,Hebridean Black
Gctguv,4,4,white,Hebridean Black
Scqji,4,4,red,Hungarian Horntail
Hidooshn,12,4,white,Norwegian Ridgeback
Qohus,7,4,black,Norwegian Ridgeback
Tvknh,20,4,red,Norwegian Ridgeback
Xqj,19,4,blue,Norwegian Ridgeback
Byxorvs,2,4,white,Peruvian Vipertooth
Eydpvvt,7,4,white,Peruvian Vipertooth
Ivtey,8,4,blue,Peruvian Vipertooth
Vhvcv,15,4,red,Peruvian Vipertooth
Yanepkio,14,4,blue,Peruvian Vipertooth
Vmiacphu,14,4,blue,Romanian Longhorn
Vqbe,13,4,red,Romanian Longhorn
Xred,13,4,black,Romanian Longhorn
Ygbndt,19,4,blue,Romanian Longhorn
Dld,7,4,blue,Swedish Short-Snout
Gftxvmef,5,4,white,Swedish Short-Snout
Hnfigaag,5,4,blue,Swedish Short-Snout
Nagohr,6,4,black,Swedish Short-Snout
Tiqah,14,4,black,Swedish Short-Snout
Viuxsbi,9,4,red,Swedish Short-Snout
Wqpm,2,4,white,Swedish Short-Snout
Wyyoc,12,4,blue,Swedish Short-Snout
Dkieook,0,4,red,Ukrainian Ironbelly
Qryo,6,4,black,Ukrainian Ironbelly
Rjk,1,4,red,Ukrainian Ironbelly
Uftuq,3,4,white,Ukrainian Ironbelly
Xdfaein,1,4,white,Ukrainian Ironbelly
Yda,17,4,blue,Ukrainian Ironbelly
Bfnuowr,10,5,white,Antipodean Opaleye
Bqvsnn,16,5,blue,Antipodean Opaleye
Dsustmk,19,5,blue,Antipodean Opaleye
Giovnk,14,5,white,Antipodean Opaleye
Tunjrjo,3,5,blue,Antipodean Opaleye
Upqsmaov,0,5,red,Antipodean Opaleye
Pnkqovhe,19,5,blue,Chinese Fireball
Skum,20,5,blue,Chinese Fireball
Slkg,20,5,red,Chinese Fireball
Aodc,7,5,red,Common Welsh Green
Ivs,7,5,white,Common Welsh Green
Mbos,4,5,black,Common Welsh Green
Svhkyv,14,5,black,Common Welsh Green
Blangjt,6,5,black,Hebridean Black
Cunu,9,5,black,Hebridean Black
Gekmej,15,5,black,Hebridean Black
Vtusxvt,3,5,blue,Hebridean Black
Ajj,16,5,red,Hungarian Horntail
Bco,14,5,blue,Hungarian Horntail
Hghnpat,20,5,white,Hungarian Horntail
Xirhxc,4,5,black,Hungarian Horntail
Xqrw,1,5,white,Hungarian Horntail
Bvc,11,5,white,Norwegian Ridgeback
Esj,15,5,red,Norwegian Ridgeback
Redg,18,5,white,Norwegian Ridgeback
Rglj,11,5,blue,Norwegian Ridgeback
Vngd,1,5,white,Norwegian Ridgeback
Wgmhdc,6,5,black,Norwegian Ridgeback
Xpujtr,14,5,red,Norwegian Ridgeback
Fotyxn,2,5,white,Peruvian Vipertooth
Iod,10,5,black,Peruvian Vipertooth
Vorffsp,2,5,blue,Peruvian Vipertooth
Bkacx,17,5,blue,Romanian Longhorn
Ckkagmy,4,5,black,Romanian Longhorn
Nmrm,11,5,blue,Romanian Longhorn
Vcknofjk,11,5,red,Swedish Short-Snout
Wbjx,7,5,blue,Swedish Short-Snout
Ioswawr,12,5,black,Ukrainian Ironbelly
Vcmp,1,5,blue,Ukrainian Ironbelly
Vld,18,5,blue,Ukrainian Ironbelly
Cvsfckd,2,6,white,Antipodean Opaleye
Iki,11,6,black,Antipodean Opaleye
Otcfhale,7,6,black,Antipodean Opaleye
Smbuwcnf,19,6,white,Antipodean Opaleye
Kyea,9,6,blue,Chinese Fireball
